rank,lambda,gamma,alpha,train_avg,train_std,val_avg,val_std,test_avg
205,0.100,0.15,0.60,7.590941,0.375289,9.069452,1.242596,7.748307
206,0.100,0.05,0.30,7.621668,0.387783,9.072547,1.215544,7.748215
207,0.100,0.10,0.30,7.619267,0.386994,9.072569,1.236469,7.770936
208,0.100,0.10,0.60,7.604460,0.381585,9.074233,1.240772,7.740908
209,0.100,0.10,2.00,7.588841,0.387667,9.096359,1.218923,7.763236
210,5.000,0.30,3.00,5.650658,0.310410,9.168456,1.080996,8.459369
211,0.050,0.15,3.00,7.726524,0.385733,9.180148,1.209367,8.236024
212,0.050,0.15,1.50,7.722438,0.386428,9.196090,1.195569,8.231180
213,0.050,0.20,3.00,7.705627,0.387717,9.197006,1.231303,8.191203
214,0.050,0.15,2.00,7.721768,0.387851,9.205271,1.186165,8.236024
215,0.050,0.15,1.00,7.723367,0.381571,9.205877,1.221916,8.210905
216,0.050,0.20,1.50,7.700362,0.386557,9.206078,1.207532,8.188700
217,0.050,0.30,1.00,7.665579,0.376091,9.210613,1.224870,8.206423
218,0.050,0.20,1.00,7.702814,0.381715,9.212351,1.235595,8.180634
219,0.050,0.05,3.00,7.763627,0.405072,9.218885,1.216079,8.176908
220,0.050,0.30,1.50,7.658641,0.386548,9.228424,1.200726,8.277039
221,0.050,0.10,3.00,7.752884,0.398995,9.228677,1.251516,8.194727
222,0.050,0.05,2.00,7.763739,0.405180,9.229997,1.209033,8.176908
223,0.050,0.20,2.00,7.698616,0.388186,9.232161,1.204778,8.191203
224,0.050,0.10,1.50,7.753040,0.398349,9.233927,1.243026,8.199639
225,0.050,0.15,0.60,7.735710,0.381759,9.234296,1.244746,8.172230
226,0.050,0.05,1.50,7.763974,0.405083,9.237397,1.208175,8.179343
227,0.050,0.05,1.00,7.765534,0.401323,9.238126,1.217716,8.158403
228,0.050,0.30,0.60,7.692372,0.374151,9.238198,1.240942,8.182535
229,0.050,0.20,0.60,7.720427,0.387146,9.238295,1.233653,8.173445
230,0.050,0.10,1.00,7.753689,0.393083,9.239586,1.258303,8.179016
231,0.050,0.10,2.00,7.752334,0.398729,9.245733,1.239087,8.194727
232,0.050,0.15,0.30,7.739463,0.386440,9.248534,1.245263,8.161857
233,0.050,0.20,0.30,7.727209,0.392321,9.249763,1.241522,8.171615
234,0.050,0.30,2.00,7.656532,0.388874,9.251851,1.194236,8.274721
235,0.010,0.30,1.50,7.836256,0.393182,9.252953,1.330478,7.612574
236,0.050,0.05,0.60,7.772481,0.405203,9.253253,1.226378,8.138924
237,0.050,0.05,0.30,7.773875,0.404208,9.258058,1.231881,8.145078
238,0.050,0.10,0.30,7.761678,0.399068,9.259971,1.243009,8.152101
239,0.050,0.10,0.60,7.760226,0.394738,9.260988,1.244734,8.138370
240,0.050,0.30,0.30,7.710070,0.383766,9.262140,1.247566,8.191134
241,0.050,0.30,3.00,7.664159,0.388706,9.267223,1.143500,8.274721
242,0.010,0.30,1.00,7.837732,0.399912,9.267576,1.329830,7.626260
243,0.010,0.30,2.00,7.836009,0.393488,9.267592,1.317177,7.606492
244,0.010,0.20,1.50,7.850073,0.399224,9.269665,1.305541,7.601251
245,0.020,0.30,1.50,7.785004,0.399145,9.272490,1.304523,8.395356
246,0.010,0.20,1.00,7.851217,0.404338,9.272809,1.312334,7.606376
247,0.020,0.05,3.00,7.860141,0.410098,9.273641,1.276174,8.313841
248,0.010,0.15,1.00,7.864152,0.407409,9.273985,1.292456,7.648630
249,0.020,0.20,1.00,7.812434,0.403467,9.276052,1.304838,8.321761
